abv,rep
ALLEE,ALLEY
ALLEY,ALLEY
ALLY,ALLEY
ALY,ALLEY
ANEX,ANEX
ANNEX,ANEX
ANNX,ANEX
ANX,ANEX
ARC,ARCADE
ARCADE,ARCADE
AV,AVENUE
AVE,AVENUE
AVEN,AVENUE
AVENU,AVENUE
AVENUE,AVENUE
AVN,AVENUE
AVNUE,AVENUE
BAYOO,BAYOU
BAYOU,BAYOU
BCH,BEACH
BEACH,BEACH
BEND,BEND
BND,BEND
BLF,BLUFF
BLUF,BLUFF
BLUFF,BLUFF
BLUFFS,BLUFFS
BOT,BOTTOM
BTM,BOTTOM
BOTTM,BOTTOM
BOTTOM,BOTTOM
BLVD,BOULEVARD
BOUL,BOULEVARD
BOULEVARD,BOULEVARD
BOULV,BOULEVARD
BR,BRANCH
BRNCH,BRANCH
BRANCH,BRANCH
BRDGE,BRIDGE
BRG,BRIDGE
BRIDGE,BRIDGE
BRK,BROOK
BROOK,BROOK
BROOKS,BROOKS
BURG,BURG
BURGS,BURGS
BYP,BYPASS
BYPA,BYPASS
BYPAS,BYPASS
BYPASS,BYPASS
BYPS,BYPASS
CAMP,CAMP
CP,CAMP
CMP,CAMP
CANYN,CANYON
CANYON,CANYON
CNYN,CANYON
CAPE,CAPE
CPE,CAPE
CAUSEWAY,CAUSEWAY
CAUSWA,CAUSEWAY
CSWY,CAUSEWAY
CEN,CENTER
CENT,CENTER
CENTER,CENTER
CENTR,CENTER
CENTRE,CENTER
CNTER,CENTER
CNTR,CENTER
CTR,CENTER
CENTERS,CENTERS
CIR,CIRCLE
CIRC,CIRCLE
CIRCL,CIRCLE
CIRCLE,CIRCLE
CRCL,CIRCLE
CRCLE,CIRCLE
CIRCLES,CIRCLES
CLF,CLIFF
CLIFF,CLIFF
CLFS,CLIFFS
CLIFFS,CLIFFS
CLB,CLUB
CLUB,CLUB
COMMON,COMMON
COMMONS,COMMONS
COR,CORNER
CORNER,CORNER
CORNERS,CORNERS
CORS,CORNERS
COURSE,COURSE
CRSE,COURSE
COURT,COURT
CT,COURT
COURTS,COURTS
CTS,COURTS
COVE,COVE
CV,COVE
COVES,COVES
CREEK,CREEK
CRK,CREEK
CRESCENT,CRESCENT
CRES,CRESCENT
CRSENT,CRESCENT
CRSNT,CRESCENT
CREST,CREST
CROSSING,CROSSING
CRSSNG,CROSSING
XING,CROSSING
CROSSROAD,CROSSROAD
CROSSROADS,CROSSROADS
CURVE,CURVE
DALE,DALE
DL,DALE
DAM,DAM
DM,DAM
DIV,DIVIDE
DIVIDE,DIVIDE
DV,DIVIDE
DVD,DIVIDE
DR,DRIVE
DRIV,DRIVE
DRIVE,DRIVE
DRV,DRIVE
DRIVES,DRIVES
EST,ESTATE
ESTATE,ESTATE
ESTATES,ESTATES
ESTS,ESTATES
EXP,EXPRESSWAY
EXPR,EXPRESSWAY
EXPRESS,EXPRESSWAY
EXPRESSWAY,EXPRESSWAY
EXPW,EXPRESSWAY
EXPY,EXPRESSWAY
EXT,EXTENSION
EXTENSION,EXTENSION
EXTN,EXTENSION
EXTNSN,EXTENSION
EXTS,EXTENSIONS
FALL,FALL
FALLS,FALLS
FLS,FALLS
FERRY,FERRY
FRRY,FERRY
FRY,FERRY
FIELD,FIELD
FLD,FIELD
FIELDS,FIELDS
FLDS,FIELDS
FLAT,FLAT
FLT,FLAT
FLATS,FLATS
FLTS,FLATS
FORD,FORD
FRD,FORD
FORDS,FORDS
FOREST,FOREST
FORESTS,FOREST
FRST,FOREST
FORG,FORGE
FORGE,FORGE
FRG,FORGE
FORGES,FORGES
FORK,FORK
FRK,FORK
FORKS,FORKS
FRKS,FORKS
FORT,FORT
FRT,FORT
FT,FORT
FREEWAY,FREEWAY
FREEWY,FREEWAY
FRWAY,FREEWAY
FRWY,FREEWAY
FWY,FREEWAY
GARDEN,GARDEN
GARDN,GARDEN
GRDEN,GARDEN
GRDN,GARDEN
GARDENS,GARDENS
GDNS,GARDENS
GRDNS,GARDENS
GATEWAY,GATEWAY
GATEWY,GATEWAY
GATWAY,GATEWAY
GTWAY,GATEWAY
GTWY,GATEWAY
GLEN,GLEN
GLN,GLEN
GLENS,GLENS
GREEN,GREEN
GRN,GREEN
GREENS,GREENS
GROV,GROVE
GROVE,GROVE
GRV,GROVE
GROVES,GROVES
HARB,HARBOR
HARBOR,HARBOR
HARBR,HARBOR
HBR,HARBOR
HRBOR,HARBOR
HARBORS,HARBORS
HAVEN,HAVEN
HVN,HAVEN
HT,HEIGHTS
HTS,HEIGHTS
HIGHWAY,HIGHWAY
HIGHWY,HIGHWAY
HIWAY,HIGHWAY
HIWY,HIGHWAY
HWAY,HIGHWAY
HWY,HIGHWAY
HILL,HILL
HL,HILL
HILLS,HILLS
HLS,HILLS
HLLW,HOLLOW
HOLLOW,HOLLOW
HOLLOWS,HOLLOW
HOLW,HOLLOW
HOLWS,HOLLOW
INLT,INLET
IS,ISLAND
ISLAND,ISLAND
ISLND,ISLAND
ISLANDS,ISLANDS
ISLNDS,ISLANDS
ISS,ISLANDS
ISLE,ISLE
ISLES,ISLE
JCT,JUNCTION
JCTION,JUNCTION
JCTN,JUNCTION
JUNCTION,JUNCTION
JUNCTN,JUNCTION
JUNCTON,JUNCTION
JCTNS,JUNCTIONS
JCTS,JUNCTIONS
JUNCTIONS,JUNCTIONS
KEY,KEY
KY,KEY
KEYS,KEYS
KYS,KEYS
KNL,KNOLL
KNOL,KNOLL
KNOLL,KNOLL
KNLS,KNOLLS
KNOLLS,KNOLLS
LK,LAKE
LAKE,LAKE
LKS,LAKES
LAKES,LAKES
LAND,LAND
LANDING,LANDING
LNDG,LANDING
LNDNG,LANDING
LANE,LANE
LN,LANE
LGT,LIGHT
LIGHT,LIGHT
LIGHTS,LIGHTS
LF,LOAF
LOAF,LOAF
LCK,LOCK
LOCK,LOCK
LCKS,LOCKS
