tag,tag_desc
0554,Allow residents to self-administer drugs if determined clinically appropriate.
0880,Provide and implement an infection prevention and control program.
0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured."
0700,"Try different approaches before using a bed rail.  If a bed rail is needed, the facility must (1) assess a resident for safety risk; (2) review these risks and benefits with the resident/representative; (3) get informed consent; and (4) Correctly install"
0812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards."
0241,Provide care for residents in a way that maintains or improves their dignity and respect in full recognition of their individuality.
0253,Provide housekeeping and maintenance services.
0278,Ensure each resident receives an accurate assessment by a qualified health professional.
0279,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured."
0281,Ensure services provided by the nursing facility meet professional standards of quality.
0356,Post nurse staffing information/data on a daily basis.
0371,"Store, cook, and serve food in a safe and clean way."
0550,"Honor the resident's right to a dignified existence, self-determination, communication, and to exercise his or her rights."
0814,Dispose of garbage and refuse properly.
0315,"Ensure that each resident who enters the nursing home without a catheter is not given a catheter, unless medically necessary, and that incontinent patients receive proper services to prevent urinary tract infections and restore normal bladder functions."
0363,Make sure menus meet the resident's nutritional needs and that there is a prepared menu by which nutritious meals have been planned for the resident and followed.
0425,Provide routine and emergency drugs through a licensed pharmacist and only under the general supervision of a licensed nurse.
0441,"Have a program that investigates, controls and keeps infection from spreading."
0636,"Assess the resident completely in a timely manner  when first admitted, and then periodically, at least every 12 months."
0676,Ensure residents do not lose the ability to perform activities of daily living unless there is a medical reason.
0684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals."
0688,"Provide appropriate care for a resident to maintain and/or improve range of motion (ROM), limited ROM and/or mobility, unless a decline is for a medical reason."
0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.
0282,Provide care by qualified persons according to each resident's written plan of care.
0312,"Assist those residents who need help with eating/drinking, grooming and personal and oral hygiene."
0468,Put firmly secured handrails on each side of hallways.
0695,Provide safe and appropriate respiratory care for a resident when needed.
0577,Allow residents to easily view the nursing home's survey results and communicate with advocate agencies.
0641,Ensure each resident receives an accurate assessment.
0730,Observe each nurse aide's job performance and give regular training.
0732,Post nurse staffing information every day.
0842,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.
0225,"1) Hire only people with no legal history of abusing, neglecting or mistreating residents; or 2) report and investigate any acts or reports of abuse, neglect or mistreatment of residents."
0226,"Develop and implement policies for 1) screening and training employees; and the 2) prevention, identification, investigation, and reporting of any abuse, neglect, mistreatment and misappropriation of property."
0580,"Immediately tell the resident, the resident's doctor, and a family member of situations (injury/decline/room, etc.)  that affect the resident."
0602,Protect each resident from the wrongful use of the resident's belongings or money.
0658,Ensure services provided by the nursing facility meet professional standards of quality.
0661,"Ensure necessary information is communicated to the resident, and receiving health care provider at the time of a planned discharge."
0687,Provide appropriate foot care.
0755,Provide pharmaceutical services to meet the needs of each resident and employ or obtain the services of a licensed pharmacist.
0600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody."
0607,"Develop and implement policies and procedures to prevent abuse, neglect, and theft."
0609,"Timely report suspected abuse, neglect, or theft and report the results of the investigation to proper authorities."
0610,Respond appropriately to all alleged violations.
0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.
0835,Administer the facility in a manner that enables it to use its resources effectively and efficiently.
0274,Review or revise the resident's care plan after any major change in physical or mental health.
0280,Allow residents the right to participate in the planning or revision of care and treatment.
0761,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs."
0584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely."
0686,Provide appropriate pressure ulcer care and prevent new ulcers from developing.
0314,Give residents proper treatment to prevent new bed (pressure) sores or heal existing bed sores.
0367,Make sure that special or therapeutic diets are ordered by the attending doctor.
0690,"Provide appropriate care for residents who are continent or incontinent of bowel/bladder, appropriate catheter care,  and appropriate care  to prevent urinary tract infections."
0803,"Ensure menus must meet the nutritional needs of residents, be prepared in advance, be followed, be updated, be reviewed by dietician, and meet the needs of the resident."
0167,Allow residents to easily view the results of the nursing home's most recent inspection.
0248,Provide activities to meet the interests and needs of each resident.
0323,Ensure that a nursing home area is free from accident hazards and provide adequate supervision to prevent avoidable accidents.
0328,"Properly care for residents needing special services, including: injections, colostomy, ureostomy, ileostomy, tracheostomy care, tracheal suctioning, respiratory care, foot care, and prostheses."
0372,Dispose of garbage and refuse properly.
0655,Create and put into place a plan for meeting the resident's most immediate needs within 48 hours of being admitted
0325,Ensure residents maintain acceptable nutritional status.
0839,"Employ staff that are licensed, certified, or registered in accordance with state laws."
0583,Keep residents' personal and medical records private and confidential.
0272,Conduct initial and periodic assessments of each resident's functional capacity.
0635,Provide doctor's orders for the resident's immediate care at the time the resident was admitted.
0657,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals."
0164,Keep  residents' personal and medical records private and confidential.
0740,Ensure each resident must receive and the facility must provide necessary behavioral health care and services.
0837,Establish a governing body that is legally responsible for establishing and implementing policies for managing and operating the facility and appoints a properly licensed administrator responsible for managing the facility.
0838,Conduct and document a facility-wide assessment to determine what resources are necessary to care for residents competently during both day-to-day operations and emergencies.
