PROVNUM,PROVNAME,CITY,STATE,COUNTY_NAME,COUNTY_FIPS,CY_Qtr,WorkDate,MDScensus,Hrs_RNDON,Hrs_RNDON_emp,Hrs_RNDON_ctr,Hrs_RNadmin,Hrs_RNadmin_emp,Hrs_RNadmin_ctr,Hrs_RN,Hrs_RN_emp,Hrs_RN_ctr,Hrs_LPNadmin,Hrs_LPNadmin_emp,Hrs_LPNadmin_ctr,Hrs_LPN,Hrs_LPN_emp,Hrs_LPN_ctr,Hrs_CNA,Hrs_CNA_emp,Hrs_CNA_ctr,Hrs_NAtrn,Hrs_NAtrn_emp,Hrs_NAtrn_ctr,Hrs_MedAide,Hrs_MedAide_emp,Hrs_MedAide_ctr
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200401,40,8.00,8.00,0.00,0.00,0.00,0.00,16.90,16.90,0.00,8.68,8.68,0.00,24.32,24.32,0.00,77.79,77.79,0.00,16.32,16.32,0.00,6.92,6.92,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200402,40,8.00,8.00,0.00,0.00,0.00,0.00,24.50,24.50,0.00,7.87,7.87,0.00,16.87,16.87,0.00,81.43,81.43,0.00,23.85,23.85,0.00,6.82,6.82,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200403,40,8.00,8.00,0.00,0.00,0.00,0.00,17.73,17.73,0.00,5.88,5.88,0.00,18.60,18.60,0.00,64.90,64.90,0.00,24.14,24.14,0.00,9.51,9.51,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200404,40,0.00,0.00,0.00,0.00,0.00,0.00,16.53,16.53,0.00,0.00,0.00,0.00,16.18,16.18,0.00,59.35,59.35,0.00,8.09,8.09,0.00,6.80,6.80,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200405,40,0.00,0.00,0.00,0.00,0.00,0.00,16.65,16.65,0.00,1.35,1.35,0.00,16.40,16.40,0.00,49.70,49.70,0.00,23.95,23.95,0.00,6.18,6.18,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200406,40,8.00,8.00,0.00,0.00,0.00,0.00,10.23,10.23,0.00,8.06,8.06,0.00,38.99,38.99,0.00,74.81,74.81,0.00,18.26,18.26,0.00,6.50,6.50,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200407,40,8.00,8.00,0.00,0.00,0.00,0.00,16.83,16.83,0.00,15.50,15.50,0.00,23.26,23.26,0.00,73.23,73.23,0.00,24.57,24.57,0.00,6.87,6.87,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200408,40,8.00,8.00,0.00,0.00,0.00,0.00,22.09,22.09,0.00,0.00,0.00,0.00,20.68,20.68,0.00,83.29,83.29,0.00,0.00,0.00,0.00,6.37,6.37,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200409,40,8.00,8.00,0.00,0.00,0.00,0.00,23.48,23.48,0.00,16.50,16.50,0.00,19.94,19.94,0.00,78.76,78.76,0.00,19.99,19.99,0.00,4.45,4.45,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200410,40,8.00,8.00,0.00,0.00,0.00,0.00,19.23,19.23,0.00,16.90,16.90,0.00,19.38,19.38,0.00,67.40,67.40,0.00,13.65,13.65,0.00,5.75,5.75,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200411,40,0.00,0.00,0.00,0.00,0.00,0.00,18.27,18.27,0.00,4.18,4.18,0.00,18.54,18.54,0.00,82.66,82.66,0.00,8.27,8.27,0.00,6.14,6.14,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200412,40,0.00,0.00,0.00,0.00,0.00,0.00,18.80,18.80,0.00,0.00,0.00,0.00,9.84,9.84,0.00,90.38,90.38,0.00,16.61,16.61,0.00,6.44,6.44,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200413,40,8.00,8.00,0.00,0.00,0.00,0.00,22.98,22.98,0.00,9.20,9.20,0.00,18.35,18.35,0.00,70.83,70.83,0.00,17.32,17.32,0.00,5.97,5.97,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200414,40,8.00,8.00,0.00,0.00,0.00,0.00,18.71,18.71,0.00,18.24,18.24,0.00,32.54,32.54,0.00,55.88,55.88,0.00,36.88,36.88,0.00,2.82,2.82,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200415,40,8.00,8.00,0.00,0.00,0.00,0.00,18.62,18.62,0.00,7.95,7.95,0.00,23.78,23.78,0.00,83.42,83.42,0.00,8.10,8.10,0.00,6.22,6.22,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200416,40,8.00,8.00,0.00,0.00,0.00,0.00,25.16,25.16,0.00,14.72,14.72,0.00,15.83,15.83,0.00,85.72,85.72,0.00,7.80,7.80,0.00,6.83,6.83,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200417,40,8.00,8.00,0.00,0.00,0.00,0.00,14.44,14.44,0.00,6.35,6.35,0.00,24.72,24.72,0.00,72.69,72.69,0.00,13.70,13.70,0.00,7.00,7.00,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200418,40,0.00,0.00,0.00,0.00,0.00,0.00,16.15,16.15,0.00,0.00,0.00,0.00,16.34,16.34,0.00,66.81,66.81,0.00,9.75,9.75,0.00,6.37,6.37,0.00
155746,PARKVIEW HAVEN,FRANCESVILLE,IN,Pulaski,131,2020Q2,20200419,40,0.00,0.00,0.00,0.00,0.00,0.00,16.13,16.13,0.00,2.25,2.25,0.00,15.59,15.59,0.00,54.21,54.21,0.00,17.63,17.63,0.00,6.35,6.35,0.00
