agency_name,sub_agency,recipient,assist_type,biz_code,n_row,n_award,sum_row
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"MASSACHUSETTS GENERAL HOSPITAL, THE",PROJECT GRANT (B),M,874,644,286191121
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"BRIGHAM AND WOMEN'S HOSPITAL, INC., THE",PROJECT GRANT (B),M,594,438,200735296
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER, THE",PROJECT GRANT (B),H,479,351,132292364
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,VANDERBILT UNIVERSITY MEDICAL CENTER,PROJECT GRANT (B),M,415,294,135162209
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"CHILDREN'S HOSPITAL CORPORATION, THE",PROJECT GRANT (B),M,365,279,130979955
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"MASSACHUSETTS GENERAL HOSPITAL, THE",COOPERATIVE AGREEMENT (B),M,319,207,168648266
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,CHILDREN'S HOSPITAL MEDICAL CENTER,PROJECT GRANT (B),M,276,211,83003821
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"CHILDREN'S HOSPITAL OF PHILADELPHIA, THE",PROJECT GRANT (B),M,242,191,70773307
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"BETH ISRAEL DEACONESS MEDICAL CENTER, INC",PROJECT GRANT (B),M,201,156,65089985
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"BRIGHAM AND WOMEN'S HOSPITAL, INC., THE",COOPERATIVE AGREEMENT (B),M,167,105,80328668
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE, INC.",PROJECT GRANT (B),X,149,111,43153640
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,VANDERBILT UNIVERSITY MEDICAL CENTER,COOPERATIVE AGREEMENT (B),M,142,79,133769862
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,SEATTLE CHILDREN'S HOSPITAL,PROJECT GRANT (B),M,141,109,46715118
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,CEDARS-SINAI MEDICAL CENTER,PROJECT GRANT (B),M,123,93,37166839
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"CHILDREN'S HOSPITAL OF PHILADELPHIA, THE",COOPERATIVE AGREEMENT (B),M,120,62,85410568
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER, THE",COOPERATIVE AGREEMENT (B),H,120,80,63505836
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"CHILDREN'S HOSPITAL CORPORATION, THE",COOPERATIVE AGREEMENT (B),M,111,59,49317367
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,RUSH UNIVERSITY MEDICAL CENTER,PROJECT GRANT (B),M,102,67,44099837
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,CHILDREN'S HOSPITAL MEDICAL CENTER,COOPERATIVE AGREEMENT (B),M,97,53,56845538
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,PROJECT GRANT (B),M,96,74,24009403
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"LANCASTER GENERAL HOSPITAL, THE","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,87,3,2232190.32
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,BRYAN MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,85,5,768195
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"BETH ISRAEL DEACONESS MEDICAL CENTER, INC",COOPERATIVE AGREEMENT (B),M,83,58,43461047
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,RHODE ISLAND HOSPITAL,PROJECT GRANT (B),M,83,48,22045285
