award_id,agency_name,sub_agency,action_date,mod_date,mod_number,fed_obligate,covid_outlay,covid_obligate,covid_code,n_code,recipient,city,state,place_zip,non_profit,hospital_flag,naics_description,award_type,award_desc,permalink,file
15B61120FVB230002,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-16,2021-03-16T16:04:40Z,P00002,-17618.89,NA,NA,Q,1,"SEVEN CORNERS, INC",CARMEL,IN,981983043,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,INPATIENT/OUTPATIENT FACILITY AND PHYSICIAN SERVICES FOR INMATES,https://www.usaspending.gov/award/CONT_AWD_15B61120FVB230002_1540_15B61119D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B61120FVB230009,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-16,2021-03-16T13:32:32Z,P00002,-17277.57,NA,NA,Q,1,"SEVEN CORNERS, INC",CARMEL,IN,981983043,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,INPATIENT/OUTPATIENT FACILITY AND PHYSICIAN SERVICES FOR INMATES,https://www.usaspending.gov/award/CONT_AWD_15B61120FVB230009_1540_15B61119D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B61120FVB230006,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-16,2021-03-16T13:29:04Z,P00003,-15409.44,NA,NA,Q,1,"SEVEN CORNERS, INC",CARMEL,IN,981983043,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,INPATIENT/OUTPATIENT FACILITY AND PHYSICIAN SERVICES FOR INMATES,https://www.usaspending.gov/award/CONT_AWD_15B61120FVB230006_1540_15B61119D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B61420FVB210016,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-16,2021-03-16T13:44:21Z,P00004,350000,NA,NA,Q,1,"SEVEN CORNERS, INC",CARMEL,IN,907310001,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,COMPREHENSIVE MEDICAL SERVICES FOR FCI TERMINAL  ISLAND FY 2020.,https://www.usaspending.gov/award/CONT_AWD_15B61420FVB210016_1540_15B61420D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B61120FVB230011,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-16,2021-03-16T13:39:42Z,P00002,-545.34,NA,NA,Q,1,"SEVEN CORNERS, INC",CARMEL,IN,981983043,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,INPATIENT/OUTPATIENT FACILITY AND PHYSICIAN SERVICES FOR INMATES,https://www.usaspending.gov/award/CONT_AWD_15B61120FVB230011_1540_15B61119D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B40920FVB230010,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-15,2021-03-15T15:14:10Z,P00002,7344.56,NA,NA,Q,1,"NAPHCARE, INC.",BIRMINGHAM,AL,629595884,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,USP MARION COMPREHENSIVE MEDICAL SERVICES  FY2020 JULY,https://www.usaspending.gov/award/CONT_AWD_15B40920FVB230010_1540_DJBP040900000051_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B31820FVB220013,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-15,2021-03-15T16:38:04Z,P00007,425.49,NA,NA,Q,1,"SEVEN CORNERS, INC",CARMEL,IN,460325631,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,DELIVERY ORDER,FCI ALICEVILLE MEDICAL SERVICES BPA INPATIENT AND OUTPATIENT SERVICES.,https://www.usaspending.gov/award/CONT_AWD_15B31820FVB220013_1540_15B31818D00000001_1540/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B20520PVB270017,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-12,2021-03-12T14:08:44Z,P00003,37.22,NA,NA,Q,1,UNIVERSITY OF MASSACHUSETTS,WORCESTER,MA,016050001,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OUTSIDE MEDICAL SERVICES FOR FMC DEVENS INMATE POPULATION. AMOUNT IS ESTIMATED. PERFORMANCE PERIOD: APRIL 2020,https://www.usaspending.gov/award/CONT_AWD_15B20520PVB270017_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B20520PVB270018,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-12,2021-03-12T11:38:17Z,P00004,126.44,152383.61,152383.61,N|Q,2,UNIVERSITY OF MASSACHUSETTS,WORCESTER,MA,016550002,FALSE,FALSE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OUTSIDE MEDICAL SERVICES FOR FMC DEVENS INMATE POPULATION. AMOUNT IS ESTIMATED. PERFORMANCE PERIOD: MAY 2020,https://www.usaspending.gov/award/CONT_AWD_15B20520PVB270018_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
15B12120PVB250111,DEPARTMENT OF JUSTICE (DOJ),FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2021-03-11,2021-03-11T12:47:16Z,P00001,-62596.3,NA,NA,Q,1,"WEST VIRGINIA UNIVERSITY HOSPITALS, INC.",MORGANTOWN,WV,265061200,FALSE,TRUE,GENERAL MEDICAL AND SURGICAL HOSPITALS,PURCHASE ORDER,OTHER FUNCTIONS INPATIENT AND OUTPATIENT SERVICES FOR INMATES INCARCERATED AT FCC HAZELTON.,https://www.usaspending.gov/award/CONT_AWD_15B12120PVB250111_1540_-NONE-_-NONE-/,All_Contracts_PrimeTransactions_2021-03-18_H15M54S39_1.csv
