column,type
assistance_transaction_unique_key,c
assistance_award_unique_key,c
award_id_fain,c
modification_number,c
award_id_uri,c
sai_number,c
federal_action_obligation,d
total_obligated_amount,d
non_federal_funding_amount,d
total_non_federal_funding_amount,d
face_value_of_loan,d
original_loan_subsidy_cost,d
total_face_value_of_loan,d
total_loan_subsidy_cost,d
disaster_emergency_fund_codes_for_overall_award,c
outlayed_amount_funded_by_COVID-19_supplementals_for_overall_aw,d
obligated_amount_funded_by_COVID-19_supplementals_for_overall_a,d
action_date,D
action_date_fiscal_year,i
period_of_performance_start_date,D
period_of_performance_current_end_date,D
awarding_agency_code,c
awarding_agency_name,c
awarding_sub_agency_code,c
awarding_sub_agency_name,c
awarding_office_code,c
awarding_office_name,c
funding_agency_code,c
funding_agency_name,c
funding_sub_agency_code,c
funding_sub_agency_name,c
funding_office_code,c
funding_office_name,c
treasury_accounts_funding_this_award,c
federal_accounts_funding_this_award,c
object_classes_funding_this_award,c
program_activities_funding_this_award,c
recipient_duns,c
recipient_name,c
recipient_parent_duns,c
recipient_parent_name,c
recipient_country_code,c
recipient_country_name,c
recipient_address_line_1,c
recipient_address_line_2,c
recipient_city_code,c
recipient_city_name,c
recipient_county_code,c
recipient_county_name,c
recipient_state_code,c
recipient_state_name,c
recipient_zip_code,c
recipient_zip_last_4_code,c
recipient_congressional_district,c
recipient_foreign_city_name,c
recipient_foreign_province_name,c
recipient_foreign_postal_code,c
primary_place_of_performance_scope,c
primary_place_of_performance_country_code,c
primary_place_of_performance_country_name,c
primary_place_of_performance_code,c
primary_place_of_performance_city_name,c
primary_place_of_performance_county_code,c
primary_place_of_performance_county_name,c
primary_place_of_performance_state_name,c
primary_place_of_performance_zip_4,c
primary_place_of_performance_congressional_district,c
primary_place_of_performance_foreign_location,c
cfda_number,d
cfda_title,c
assistance_type_code,c
assistance_type_description,c
award_description,c
business_funds_indicator_code,c
business_funds_indicator_description,c
business_types_code,c
business_types_description,c
correction_delete_indicator_code,c
correction_delete_indicator_description,c
action_type_code,c
action_type_description,c
record_type_code,d
record_type_description,c
highly_compensated_officer_1_name,c
highly_compensated_officer_1_amount,d
highly_compensated_officer_2_name,c
highly_compensated_officer_2_amount,d
highly_compensated_officer_3_name,c
highly_compensated_officer_3_amount,d
highly_compensated_officer_4_name,c
highly_compensated_officer_4_amount,d
highly_compensated_officer_5_name,c
highly_compensated_officer_5_amount,d
usaspending_permalink,c
last_modified_date,T
