x1,provname,county,state,ownership_type,provnum,address,city_raw,zip,survey_date_output,surveytype,defpref,category,tag,tag_desc,scope,defstat,statdate,cycle,standard,complaint,filedate,address_norm,zip5,city_clean,year,def_boolean
1,DENALI CENTER,Fairbanks North Star,AK,Non profit,025020,1510 19TH AVENUE,FAIRBANKS,99701,2018-01-12,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-02-28,2,Y,N,2020-02-01,1510 19 TH AVE,99701,FAIRBANKS,2018,1
1,DENALI CENTER,Fairbanks North Star,AK,Non profit,025020,1510 19TH AVENUE,FAIRBANKS,99701,2016-10-27,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",F,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2016-12-11,3,Y,N,2020-02-01,1510 19 TH AVE,99701,FAIRBANKS,2016,1
2,EXTENDICARE HEALTH CENTER,Houston,AL,For profit,015152,950 SOUTH ST. ANDREWS STREET,DOTHAN,36302,2018-08-02,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-09-05,2,Y,N,2020-02-01,950 S ST ANDREWS ST,36302,DOTHAN,2018,1
3,PLANTATION MANOR NURSING HOME,Jefferson,AL,For profit,015015,,,,,,,,,,,,,,,,,,,,,0
4,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",Jefferson,AL,For profit,015321,3141 OLD COLUMBIANA ROAD,BIRMINGHAM,35226,2019-06-20,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-07-25,1,Y,N,2020-02-01,3141 OLD COLUMBIANA RD,35226,BIRMINGHAM,2019,1
4,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",Jefferson,AL,For profit,015321,3141 OLD COLUMBIANA ROAD,BIRMINGHAM,35226,2018-07-03,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-08-07,2,Y,N,2020-02-01,3141 OLD COLUMBIANA RD,35226,BIRMINGHAM,2018,1
4,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",Jefferson,AL,For profit,015321,3141 OLD COLUMBIANA ROAD,BIRMINGHAM,35226,2017-05-25,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-06-29,3,Y,N,2020-02-01,3141 OLD COLUMBIANA RD,35226,BIRMINGHAM,2017,1
5,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",Lee,AL,For profit,015192,1910 PEPPERELL PKWY,OPELIKA,36801,2019-06-06,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-07-11,1,Y,N,2020-02-01,1910 PEPPERELL PKWY,36801,OPELIKA,2019,1
5,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",Lee,AL,For profit,015192,1910 PEPPERELL PKWY,OPELIKA,36801,2018-06-21,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-07-26,2,Y,N,2020-02-01,1910 PEPPERELL PKWY,36801,OPELIKA,2018,1
6,MARION REGIONAL NURSING HOME,Marion,AL,Non profit,015167,184 SASSER DRIVE,HAMILTON,35570,2018-08-08,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-08-23,2,Y,N,2020-02-01,184 SASSER DR,35570,HAMILTON,2018,1
