"","Provider Name","County","State","Ownership Type","CMS Provider Number"
"1","DENALI CENTER","Fairbanks North Star","AK","Non profit","025020"
"2","EXTENDICARE HEALTH CENTER","Houston","AL","For profit","015152"
"3","PLANTATION MANOR NURSING HOME","Jefferson","AL","For profit","015015"
"4","SOUTH HAVEN HEALTH AND REHABILITATION, LLC","Jefferson","AL","For profit","015321"
"5","ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD","Lee","AL","For profit","015192"
"6","MARION REGIONAL NURSING HOME","Marion","AL","Non profit","015167"
"7","CROWNE HEALTH CARE OF MOBILE","Mobile","AL","For profit","015100"
"8","LYNWOOD NURSING HOME","Mobile","AL","For profit","015434"
"9","TROY HEALTH & REHABILITATION CENTER","Pike","AL","For profit","015213"
"10","APPLE CREEK HEALTH AND REHAB, LLC","Benton","AR","For profit","045465"
"11","WILLOWBEND HEALTHCARE AND REHABILITATION","Crittenden","AR","For profit","045412"
"12","CONWAY HEALTHCARE AND REHABILITATION CENTER","Faulkner","AR","Non profit","045245"
"13","SALEM PLACE NURSING AND REHABILITATION CENTER, INC","Faulkner","AR","For profit","045183"
"14","GREENE ACRES NURSING HOME","Greene","AR","Non profit","045424"
"15","THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST","Jefferson","AR","Non profit","045379"
"16","THE WATERS OF WHITE HALL, LLC","Jefferson","AR","For profit","045372"
"17","WALNUT RIDGE NURSING AND REHABILITATION CENTER","Lawrence","AR","For profit","045151"
"18","NEWTON COUNTY NURSING HOME","Newton","AR","Non profit","04E090"
"19","THREE RIVERS HEALTHCARE AND REHABILITATION","Poinsett","AR","For profit","045391"
"20","LEGACY HEIGHTS NURSING AND REHAB, LLC","Pope","AR","For profit","045410"
"21","BRIARWOOD NURSING AND REHABILITATION CENTER,INC","Pulaski","AR","For profit","045387"
"22","THE LAKES AT MAUMELLE HEALTH AND REHABILITATION","Pulaski","AR","For profit","045422"
"23","OZARK HEALTH NURSING AND REHAB  CENTER","Van Buren","AR","Non profit","045414"
"24","SANTA RITA NURSING & REHABILITATION CENTER","Pima","AZ","For profit","035073"
"25","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","Pima","AZ","For profit","035099"
"26","DRIFTWOOD HEALTHCARE CENTER - HAYWARD","Alameda","CA","For profit","555533"
"27","EAST BAY POST-ACUTE","Alameda","CA","For profit","055239"
"28","EXCELL HEALTH CARE CENTER","Alameda","CA","For profit","056170"
"29","GARFIELD NEUROBEHAVIORAL CENTER","Alameda","CA","For profit","05A396"
"30","GATEWAY CARE & REHABILITATION CENTER","Alameda","CA","For profit","056463"
"31","KAISER PERMANENTE POST-ACUTE CARE CENTER","Alameda","CA","Non profit","555779"
"32","MERCY RETIREMENT & CARE CENTER","Alameda","CA","Non profit","555189"
"33","PARKVIEW HEALTHCARE CENTER","Alameda","CA","For profit","056052"
"34","REDWOOD CONVALESCENT HOSPITAL, INC","Alameda","CA","For profit","555341"
"35","REDWOOD HEALTHCARE CENTER LLC","Alameda","CA","For profit","555499"
"36","SAN LEANDRO HEALTHCARE CENTER","Alameda","CA","For profit","056345"
"37","WASHINGTON CENTER","Alameda","CA","For profit","056121"
"38","WINDSOR HEALTHCARE CENTER OF OAKLAND","Alameda","CA","For profit","056280"
"39","WINDSOR POST-ACUTE CARE CENTER OF HAYWARD","Alameda","CA","For profit","555398"
"40","ORINDA CARE CENTER, LLC","Contra Costa","CA","For profit","055775"
"41","THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE","Fresno","CA","Non profit","055846"
"42","SAN JOAQUIN NURSING CENTER AND REHABILITATION CENT","Kern","CA","For profit","056294"
"43","THE ORCHARDS POST-ACUTE","Kern","CA","For profit","555702"
"44","AFFINITY HEALTHCARE CENTER","Los Angeles","CA","For profit","056166"
"45","ALAMEDA CARE CENTER","Los Angeles","CA","For profit","555690"
