provnum,def_count,provname,county,state,ownership_type
015015,0,PLANTATION MANOR NURSING HOME,Jefferson,AL,For profit
015100,1,CROWNE HEALTH CARE OF MOBILE,Mobile,AL,For profit
015152,1,EXTENDICARE HEALTH CENTER,Houston,AL,For profit
015167,2,MARION REGIONAL NURSING HOME,Marion,AL,Non profit
015192,2,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",Lee,AL,For profit
015213,2,TROY HEALTH & REHABILITATION CENTER,Pike,AL,For profit
015321,3,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",Jefferson,AL,For profit
015434,1,LYNWOOD NURSING HOME,Mobile,AL,For profit
025020,2,DENALI CENTER,Fairbanks North Star,AK,Non profit
035073,0,SANTA RITA NURSING & REHABILITATION CENTER,Pima,AZ,For profit
035099,0,"SAPPHIRE OF TUCSON NURSING AND REHAB, LLC",Pima,AZ,For profit
045151,1,WALNUT RIDGE NURSING AND REHABILITATION CENTER,Lawrence,AR,For profit
045183,2,"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",Faulkner,AR,For profit
045245,2,CONWAY HEALTHCARE AND REHABILITATION CENTER,Faulkner,AR,Non profit
045372,0,"THE WATERS OF WHITE HALL, LLC",Jefferson,AR,For profit
045379,1,THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST,Jefferson,AR,Non profit
045387,2,"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",Pulaski,AR,For profit
045391,0,THREE RIVERS HEALTHCARE AND REHABILITATION,Poinsett,AR,For profit
045410,2,"LEGACY HEIGHTS NURSING AND REHAB, LLC",Pope,AR,For profit
045412,0,WILLOWBEND HEALTHCARE AND REHABILITATION,Crittenden,AR,For profit
045414,1,OZARK HEALTH NURSING AND REHAB  CENTER,Van Buren,AR,Non profit
045422,1,THE LAKES AT MAUMELLE HEALTH AND REHABILITATION,Pulaski,AR,For profit
045424,2,GREENE ACRES NURSING HOME,Greene,AR,Non profit
045465,0,"APPLE CREEK HEALTH AND REHAB, LLC",Benton,AR,For profit
04E090,0,NEWTON COUNTY NURSING HOME,Newton,AR,Non profit
055008,0,EDGEMOOR HOSPITAL,San Diego,CA,Government
055013,2,EISENBERG VILLAGE,Los Angeles,CA,Non profit
055032,3,THE EARLWOOD,Los Angeles,CA,For profit
055034,2,MOTION PICTURE AND T.V. HOSP D/P SNF,Los Angeles,CA,Non profit
055036,2,MAPLE HEALTHCARE CENTER,Los Angeles,CA,For profit
055041,3,ROYAL CARE SKILLED NURSING CTR,Los Angeles,CA,For profit
055042,1,ALTA VISTA HEALTHCARE & WELLNESS CENTRE,Riverside,CA,For profit
055045,3,RIVIERA HEALTHCARE CENTER,Los Angeles,CA,For profit
055052,2,CALIFORNIA POST-ACUTE CARE,Los Angeles,CA,For profit
055076,3,SPRING VALLEY POST ACUTE LLC,San Bernardino,CA,For profit
055104,3,SUNSET MANOR CONV HOSP,Los Angeles,CA,For profit
055111,3,FOUNTAIN VIEW SUBACUTE AND NURSING CENTER,Los Angeles,CA,For profit
055115,3,HOLLENBECK PALMS,Los Angeles,CA,Non profit
055119,0,COUNTRY VILLA TERRACE NRSG CTR,Los Angeles,CA,For profit
055121,2,FLAGSHIP HEALTHCARE CENTER,Orange,CA,For profit
055135,3,MONTROSE HEALTHCARE CENTER,Los Angeles,CA,For profit
055139,3,SANTA TERESITA MANOR,Los Angeles,CA,Non profit
055141,3,RAMONA NURSING & REHABILITATION CENTER,Los Angeles,CA,For profit
055153,3,MONTEBELLO CARE CENTER,Los Angeles,CA,For profit
055155,2,SEAPORT 17TH CARE CENTER,Los Angeles,CA,For profit
055157,1,VIRGIL REHABILITATION & SKILLED NURSING CENTER,Los Angeles,CA,For profit
055160,2,COUNTRY VILLA PAVILION NURSING CENTER,Los Angeles,CA,For profit
055161,3,GARDEN CREST REHABILITATION CENTER,Los Angeles,CA,For profit
055163,2,"MONTECITO HEIGHTS HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit
055167,1,VERNON HEALTHCARE CENTER,Los Angeles,CA,For profit
055168,2,SOCAL POST-ACUTE CARE,Los Angeles,CA,For profit
055169,2,JEWISH HOME & REHAB CENTER D/P SNF,San Francisco,CA,Non profit
055182,1,LEMON GROVE CARE AND REHABILITATION CENTER,San Diego,CA,For profit
055183,2,HERITAGE GARDENS HEALTH CARE CENTER,San Bernardino,CA,For profit
055239,1,EAST BAY POST-ACUTE,Alameda,CA,For profit
055255,3,CORONA HEALTH CARE CENTER,Riverside,CA,For profit
055256,3,LOMPOC VALLEY MEDICAL CTR COMP CARE CTR D/P SNF,Santa Barbara,CA,Government
055280,4,CENTRAL GARDENS POST ACUTE,San Francisco,CA,For profit
055287,1,VALLEY PALMS CARE CENTER,Los Angeles,CA,For profit
055288,1,AUTUMN HILLS HEALTH CARE CENTER,Los Angeles,CA,For profit
055293,3,SANTA ANITA CONVALESCENT HOSP,Los Angeles,CA,For profit
055297,2,NORWALK MEADOWS NURSING CENTER,Los Angeles,CA,For profit
055308,4,WINDSOR ELK GROVE CARE AND REHABILITATION CENTER,Sacramento,CA,For profit
055316,1,MOUNTAIN VIEW HEALTHCARE CENTER,Santa Clara,CA,For profit
055318,3,SKYLINE HEALTHCARE CENTER - SAN JOSE,Santa Clara,CA,For profit
055330,3,ADVANCED REHAB CENTER OF TUSTIN,Orange,CA,For profit
055341,3,GEM TRANSITIONAL,Los Angeles,CA,For profit
055350,2,CULVER WEST HEALTH CENTER,Los Angeles,CA,For profit
055360,1,OAKPARK HEALTHCARE CENTER,Los Angeles,CA,For profit
055361,2,VISTA PACIFICA CONVALESCENT HOSPITAL,Riverside,CA,For profit
055364,3,LONG BEACH HEALTHCARE CENTER,Los Angeles,CA,For profit
055367,0,MONROVIA GARDENS HEALTHCARE CENTER,Los Angeles,CA,For profit
055402,1,WINDSOR EL CAMINO CARE CENTER,Sacramento,CA,For profit
055409,5,COMMUNITY CARE AND REHABILITATION CENTER,Riverside,CA,For profit
055430,5,WHITTIER HILLS HEALTH CARE CTR,Los Angeles,CA,For profit
055443,4,WEST VALLEY POST ACUTE,Los Angeles,CA,For profit
055446,1,ROCK CREEK CARE CENTER,Placer,CA,For profit
055449,1,COVINA REHABILITATION CENTER,Los Angeles,CA,For profit
055461,2,CALIFORNIA POST ACUTE,Los Angeles,CA,For profit
055466,2,THE SEQUOIAS,San Mateo,CA,Non profit
055474,3,MAGNOLIA REHABILITATION  & NURSING  CENTER,Riverside,CA,For profit
055480,3,THE CALIFORNIAN-PASADENA,Los Angeles,CA,For profit
055488,1,LA MESA HEALTHCARE CENTER,San Diego,CA,For profit
055493,1,MID-TOWN OAKS POST-ACUTE,Sacramento,CA,For profit
055500,2,VALLE VISTA CONVALESCENT HOSPITAL,San Diego,CA,For profit
055504,4,COUNTRY VILLA SOUTH CONV CTR,Los Angeles,CA,For profit
055519,2,DOWNEY POST ACUTE,Los Angeles,CA,For profit
